id,top_tier_site,site_parent_name,site_name,geo_waterbody
00005d07e9f912b0838cc1407d4bb709,East Hampshire,Hamble,Frog Mill,GB107042016250
00034b99e2e67bc6663588ac7d4828fc,River Severn,Warwickshire Avon,Siskin Drive (original site 19),GB109054043920
000897a9e7d48c334af194bbfe7493ec,Somerset Area,Main River Yeo,Gas Works d/s Ilchester (Te),GB108052015682
001378cb96dae28905fb61192bd4df02,TRENT,LONG WHATTON BROOK,Hathern,GB104028047170
0017a18496085b87bba43fa52c684c07,Thames,Hamble Brook,Site 1,GB106039023720
0017b2927b4d43e6c6a05e8aca6fefeb,River Mole,Deanoak Brook,Deanoak Bridge,GB106039017530
0018a6a8ecfa43e40ff48672af5ea998,Avon (Hampshire),Hybridisation Project,ANRD99,GB108043015880
00198b16421ebf2085727c76f4688729,Bure catchment,Barningham watercourse,Mere Farm,GB105034055700
0024e7bf16ec92041c8ee48a47785450,Hull and Humber Catchment,Streams to Humber,"Sand Bridge, Mires Beck, nr Ellerker FOULNES4",GB104026066660
0029f16a33aaa1b398271870a3098110,River Little Avon,River Little Avon,Sharpness,GB109054026620
003c3be1e1d8154dbff6ab4eb2461767,River Severn,Warwickshire Avon,Brandon Golf Course (original site 14),GB109054043920
003dae0abc8d58621907a301099cd629,River Derwent (Yorkshire) tributaries,Pickering Beck,Pickering beck at Newbridge,GB104027068470
0040e82c324b936e26bea6d8212c26a9,River Lune,Borrow Beck,Borrowdale Head,GB112072071770
00420effd43417865caa8082c51e63b5,River Severn,Tugford Brook,Tugford,GB109054044030
00483cc7e0d0de6e5c941583f0843666,River Wear,River Wear,River Wear at Eastgate Caravan Site,GB103024077460
004a47414b9555b436bfa4245b8f4906,Somerset Area,Merriott Brook,Shutteroaks Bridge,GB108052015290
004c6c121cce169299019ad2493f591e,Wye,Arrow,W053o,GB109055041840
00508e6f7a13da26b587da38591b0a83,River Ehen,River Liza,"1860.20 DS High Beck, River Liza",GB112074070010
00541370bbaed54deefcb6a731e32db5,TRENT,LEEN,U/S Quarry Bank,""
0054da0faa7f6c65213289cda00dd689,River Severn,Stoke Brook,The Hoopits,GB109054044490
005eaefd4b863e22448023dab59cbed7,Eel specific surveys,River Hull eel surveys,Old Howe drain at N.Frodingham,""
006013db93e37b4677eca447db1a5d21,River Ribble,Stock Beck,U/ S Horton Bridge,GB112071065540
0060c78b87840a2e8b5fda9349da1e32,River Wharfe tributaries,Bow Beck,U/S Beckfoot Farm,GB104027064252
0063934a9bdaf7b6adc3d16852e74aa3,Exe,Creedy,Marsh Weir (Dip)*,GB108045009070
00657ef69e79561abc940c0b7ae6b81c,River Eden,River Petteril,"1303.00 Little Blencow, River Petteril",GB102076073992
006c124305d928e30591f682752255f9,Lincolnshire No Name Riffles Sites,Long Eau Riffles,No Name - LIN6XX,GB105029061670
0074087c5c3fdfd3b9b416e93858ae40,Itchen,Cheriton stream,Tichborne Park,""
0075b018956e5553478d44d7ace83287,River Severn,River Chelt,"Prior's Norton, 20m d/s foot bridge",GB109054032820
0079af8c058421f22430e1f4dd3c1f16,River Ribble,River Darwen,Feniscowles Roadside,GB112071065290
0081b4c762e639faaaae0465a9fe0605,RIVER TRENT,RIVER BLYTHE,Blythe Mill,GB104028042572
00835a2f499634ecd9f2475f535b045a,Cuckmere,Cuckmere,Arlington Intake,GB107041012330
008641fadfb66ebb1cb1e84af247ee11,Medway,Medway - main river,Tovil,GB106040018440
008688e89da9a04ea7118327b67da624,RIVER TRENT,MOBBERLEY BROOK,Cheadle,GB104028053100
00881b144874c36a34cfbe1787618a80,Welland Catchment,Above Tinwell,D/S Rockingham Road Bridge,GB105031050580
008f942e639e5b722f6aee2e02c9e5c8,River Swale tributaries,Bedale Beck,Burton Beck at Constable Burton,GB104027068940
00989eb8eb8f63cfbe807284357e62ee,River Coquet,Wreigh Burn,Foxton Burn,""
009d03bd1a9a34a9e9eb19b7704f8a46,Colne Catchment,River Colne Upper,U/S Blue Bridge,GB105037041330
009d4a536cf9ab4ee9ca6e3fa407fe87,Lincolnshire Lakes,Lincolnshire Lakes,West Ashby Lakes Car Park Lake Site 1 ,GB105030062450
009d75764cae1f471b850db87f3ee3ed,TRENT,WYE,Monsal Dale,GB104028057820
00a89d4c5062c9513a0d2505fb640504,Ouse,Bevern Stream,East Chiltington Church,GB107041012570
00a9bd117b13fff8a3bdcdc12052ead0,TRENT,WOOD BROOK,Loughborough WRW,GB104028047080
00ad97c1fafbf201358d9666d1864f5e,River Calder catchment,River Holme,Tennis Courts,GB104027057600
00aebf94f1533fa6e227978dde4dc485,River Eden,Heltondale Beck,1104.98 Heltondale Beck,GB102076071010
00afe78f1e1ffb71e2910c3e3fa22280,River Ure Tributaries,R. Tutt,River Tutt Carr Top Farm,GB104027064100
00b062b390ed4ef17cefdbfb0c691727,River Severn,River Teme,Crifton Ford Invert Site,""
00be53fdf05b023ca4520433e0322844,Bure catchment,Horsey Mere,83,GB105034051360
00bf2ee37234e7654f7165ef011524f0,RIVER TRENT,BOURN BROOK,University Sports Ground,""
00c20cd0b015721d6e208b3c067abc34,Camel,Main Camel,Helstone Woods,GB108049007060
00c3ec7c4f8b571483433bcd41c6ee33,Dengie Catchment,Asheldham Brook,Grange Outfall,GB105037028580
00c41b1ac9bf1bd407049675437b62ed,Tavy,Burn,Burn Bridge,GB108047007880
00c9ba1ff9fcef0a67cffd69bc9e8b88,Welland Catchment,Tinwell to Peakirk,U/S Lolham Mill Stream,GB105031050600
00caa28f0165bbac9a6f8146baf03e26,Witham Catchment,R.Slea,Bouncing Hills,GB105030056670
00d67a3e9d21e530458841b2a24081dd,Lee,Lee Navigation,Ware Priory,GB106038033240
00dc91e03e2873df44695e8824b54854,Witham Catchment,Sincil Dyke,Bardney Locks,GB105030062420
00dcfbceae59f855c971c0e04982ba04,Weaver,Weaver,WE41,GB112068060460
00dd445fab83c7f025fafabcb4b8ae97,River Dearne catchment,River Dearne,Stairfoot,GB104027063171
00e2c64dc2dec1a774071e1fbaab95c9,Orwell Catchment,River Gipping Eastern Arm,Old Newton Hall,GB105035046180
00ecd214d923b46ef483d843b1125a2a,River Aire catchment,D/S Brewery,Woodhouse Road - Site 3,""
00f68aee8462b045cdee190e19fcf089,Lower Ouse,Watton Brook,Hopton Farm,GB105033047870
00f9b7ca187387a32b95f9b124051bdd,Exe,River Lowman,Huntsham Wood (Sp)*,GB108045015030
010d9a5c5a8c21aa9fafae0dee87453c,Test,Anton,Artists Way,GB107042022810
01121f130ab16fb986ac45bfd95947f2,Wye,Lugg,Bodenham Church Fry Site,""
011b0cd369a3c6aff8d357c42aebd5dc,Cam Catchment,Bourn Brook,Westfield Farm,GB105033042690
011cd87a05581a2a21ec6fafe806ba0f,River Calder catchment,Graining Water,d/s Greave Clough,GB104027062840
01207f49ea78aad9475bc02d59d979b4,River Severn,River Chelt,Wainlodes,GB109054032810
012147967ad4fcf73a0e29daed7f7f75,Bure catchment,Barningham watercourse,Itteringham Rectory Bridge,GB105034055700
012403209d180dc07f110b309508e514,Western Rother,Western Rother,Adhurst,GB107041012840
01266bc7ee3c5d0e0e3b99e4c102cef1,River Eden,Scandal Beck,"1020.50 Artlegarth, Artlegarth Beck",GB102076070600
012d5cec7f34f85880ce1323a82f78b1,Carrick Roads,Main Gwindra Stream,Coombe,GB108048001350
012f535d255f268789eb8a6c7c869e5d,Wensum catchment,Wensum (Barbel),Hellesdon,GB105034055882
0137c70d17e47ae26b080811cc8daa41,Blyth Catchment,River Blyth (Main Reaches),Water Mill House,GB105035046290
0138d49af893aac1234a7b7433d7660e,R.Ouse tributaries,River Foss (York),River Foss US Stillington,""
013e9c5f5670877f67ad2cf0c891c507,River Severn,River Cam,River Cam Section 1,GB109054026550
013f09481beb1e47b56d803e7e27f1cf,Chelmer Catchment,River Can (Main Reaches),Central Park,GB105037033900
0144cfdfd7537e588f73c931d843696d,Coastal Streams,Loe Pool,Landing Site 2,GB108048001172
014665220ee987b554fa492acbf1adfd,Border Esk,Hermitage Water,"2169.20 DS Twislehope Burn, Hermitage Water",GB102077074520
014c6b5eae9ae5d8da33640c2b8c5d09,TRENT,WHISSENDINE BROOK,US Pears Lodge Farm,GB104028047460
014f3267b8042131d8db66559c5af674,River Derwent,Helvellyn Gill,"1555.80 High Park Wood, Helvellyn Gill",GB112075070430
01675ebb1db6b4034a7b75c183f957f6,Colne,Chess,Scotts Bridge,GB106039029870
016981c6b2e670dbc57bf3bb16be9609,Carrick Roads,Calenick,Saveock,GB108048001250
0169c31f2ae5612ae207d374b6b87423,River Derwent,St Johns Beck,1555.05 Bridge End Farm,GB112075070430
016bfe6606a1902665dc99f6a2826edc,RIVER TRENT,RIVER CHURNET,Consall Forge,""
016f8322ab087b360a2a66ca2c41d7c5,RIVER TRENT,RIVER DOVE,Clay Mills,GB104028047370
01739266c1ef578eb3fc05e0fa825a4c,Taw,Little Silver,Odam Bridge (Te),GB108050014100
0173b0e1fd9cdf9d839a0b162e17f6df,Wensum catchment,Wensum (Restoration strategy),"Gt. Ryburgh Common, New loop (Reach24)",GB105034055881
0174afe378ac1bf5314c8298c266011e,River Calder catchment,Warmans Project sites,Warmans - Project Impacted 2,GB104027062650
01787f57801632ef3a427439ecd6ce7b,South Lakes Minor Catchments,Black Beck,Beck Bank,GB112074069850
017d27583a74ffd115f29f422783cc15,TRENT,EREWASH,Shipley Gate,GB104028052510
018a36297e9c6d739fcf2280c1e6cdca,River Severn,Batchley Brook,Birchensale,GB109054043860
018f9beb2a2b49605cbc49dcd330a06f,River Alt,Croxteth Brook,Burghill Road,GB112069060610
01917b89f737bf214263383edd70b4b8,River Tees,River Tees,"SAP/BT Quin, River Greta, Gilmonby",GB103025072140
01a30af3a1825ec69e07a1bccfe550f8,River Wyre,Cam Brook,Road Bridge,GB112072065821
01ac65be262de6883fbfc60e5db787d9,River Ehen,Rake Beck,Rake Beck Investigation,GB112074070010
01b1fcd5f51f4f593e22ac8543482932,River Ribble,Stainforth Beck,Stainforth Car Park,GB112071065620
01b2331bd09bd9c40154d227f3659dff,River Mole,Mole - main river,"Below Downside Bridge, Cobham.",GB106039017621
01b4a4c543279b63c70bc7b81a41a1b6,Lee,Lee,Powder Mill Cut,GB106038033200
01b7a4885507a68912acd9f894cc1483,River Ure Tributaries,R. Burn,Colsterdale U/S Intake (BR1),""
01b7eeb99d2a1c05599a751fc43d0cd5,Lee,Lee,Hertford Football Ground,GB106038033392
01c011b5c2717844570e5465f78ae136,Stour Catchment,River Stour Lower (IoH Stratford to Flatford),Fen Bridge,GB105036041000
01c31a08402eeead236346cb59ca2def,RIVER TRENT,BENTLEY BROOK,D/S Ashbourne Stw,GB104028052750
01c38dc9a651d9def4f41f922e9e54c2,Coastal Streams,Loe Pool,Banjoree Beach,GB108048001172
01c684e95938aae5dde5db6c3eccf163,River Calder catchment,River Ryburn,DS Paper Mill,GB104027062540
01c7d317dada7fce2cdc2cddf9234ccd,Camel,Main Camel,u/s Camelford Fish Pass Dip 4,GB108049007060
01cbdfa155d18eed85429bce5bd9daef,River Severn,Hatton Brook,Hatton Grange,GB109054050270
